id,type,name,status,description,epic,start,finish,duration
0,TASK,первая задача,NEW,,,,,
33,TASK,первая задача,NEW,,,,,
3,TASK,первая задача,NEW,,,,,
36,TASK,первая задача,NEW,,,,,
6,TASK,первая задача,NEW,,,,,
39,TASK,первая задача,NEW,,,,,
9,TASK,первая задача,NEW,,,,,
42,TASK,первая задача,NEW,,,,,
12,TASK,первая задача,NEW,,,,,
45,TASK,первая задача,NEW,,,,,
15,TASK,первая задача,NEW,,,,,
48,TASK,первая задача,NEW,,,,,
18,TASK,первая задача,NEW,,,,,
51,TASK,первая задача,NEW,,,,,
21,TASK,первая задача,NEW,,,,,
54,TASK,первая задача,NEW,,,,,
24,TASK,первая задача,NEW,,,,,
27,TASK,первая задача,NEW,,,,,
30,TASK,первая задача,NEW,,,,,
32,EPIC,пустой эпик,NEW,,,,,
2,EPIC,пустой эпик,NEW,,,,,
35,EPIC,пустой эпик,NEW,,,,,
5,EPIC,пустой эпик,NEW,,,,,
38,EPIC,пустой эпик,NEW,,,,,
8,EPIC,пустой эпик,NEW,,,,,
41,EPIC,пустой эпик,NEW,,,,,
11,EPIC,пустой эпик,NEW,,,,,
44,EPIC,пустой эпик,NEW,,,,,
14,EPIC,пустой эпик,NEW,,,,,
47,EPIC,пустой эпик,NEW,,,,,
17,EPIC,пустой эпик,NEW,,,,,
50,EPIC,пустой эпик,NEW,,,,,
20,EPIC,пустой эпик,NEW,,,,,
53,EPIC,пустой эпик,NEW,,,,,
23,EPIC,пустой эпик,NEW,,,,,
56,EPIC,пустой эпик,NEW,,,,,
26,EPIC,пустой эпик,NEW,,,,,
29,EPIC,пустой эпик,NEW,,,,,
